국가코드,국가풀네임,선사코드,체류시간_totalTime(시간)
IT,ITALY,MSC,320016
KR,REPUBLIC OF KOREA,MAE,80831
JP,JAPAN,ONE,58754
DE,GERMANY,HLC,50883
CN,CHINA,COH,28238
IL,ISRAEL,ZIM,24969
HK,HONG KONG,SKR,23174
KR,REPUBLIC OF KOREA,COS,20748
HK,HONG KONG,OOL,9152
KR,REPUBLIC OF KOREA,HMM,8835
KR,REPUBLIC OF KOREA,HAS,7780
KR,REPUBLIC OF KOREA,DWS,5813
TW,TAIWAN,YML,3128
TH,THAILAND,RCL,2991
기타1,기타1,KFC,2388
FR,FRANCE,CMA,2218
RU,RUSSIAN FEDERATION,FES,2181
기타2,기타2,BLA,2087
기타3,기타3,ILN,1869
기타4,기타4,NGS,1751
PL,POLAND,KMD,1127
TW,TAIWAN,EMC,984
기타5,기타5,SPW,885
AE,UNITED ARAB EMIRATES,HAD,634
KR,REPUBLIC OF KOREA,DJS,408
US,UNITED STATES,APL,387
KR,REPUBLIC OF KOREA,SML,300
AU,AUSTRALIA,ANL,260
JP,JAPAN,MOL,121
DK,DENMARK,MCC,104
기타6,기타6,RSH,89
DE,GERMANY,HSD,68
KR,REPUBLIC OF KOREA,CKL,57
ID,INDIA,SJL,30
KR,REPUBLIC OF KOREA,NSL,5
