연도,5천톤 이하,5천-1만톤,1-2만톤,2-5만톤,5만톤 이상,합계,컨테이너선,컨테이너선 비중
1993,9366,1900,1730,1735,352,15083,6209,41
1994,9982,2286,2233,1965,393,16859,6886,41
1995,11075,2153,2595,2004,446,18273,7298,40
1996,11541,2683,2431,2092,563,19310,7984,41
1997,11115,2516,2521,2196,632,18980,8467,45
1998,11264,2601,2455,2442,604,19366,8606,44
1999,11532,2765,2987,2726,556,20566,9419,46
2000,11629,3423,3172,2916,735,21875,10199,47
2001,12938,3656,3337,2516,909,23356,10769,46
2002,14767,3982,3955,2293,1169,26166,11625,44
2003,15408,4216,3816,2441,1394,27275,12654,46
2004,15746,4309,3782,2327,1691,27855,12683,46
2005,15113,4427,3797,2585,1891,27813,12711,46
2006,14289,4755,3508,2431,2049,27032,12908,48
2007,14750,5281,3855,2642,2191,28719,13738,48
2008,14329,5199,3791,2903,2329,28551,13260,46
2009,12515,4562,3505,2694,2765,26041,11999,46
2010,12883,5310,3937,2715,3032,27877,13522,49
2011,11990,5656,3912,2918,3467,27943,14606,52
2012,12417,5662,3857,2739,3661,28336,14417,51
2013,11396,6018,3672,2790,3922,27798,14548,52
2014,10462,5880,3467,2658,3688,26155,13899,53
2015,10055,6287,3720,2700,4289,27051,15141,56
2016,10286,6649,3724,2779,4468,27906,15375,55
2017,10238,6732,3988,2594,4456,28008,15566,56
2018,9722,6650,3953,2450,4534,27309,15279,56
2019,8955,6788,3694,2668,4469,26574,14762,56
2020,6457,7046,3462,2769,4100,23834,13949,59
2021,5789,6678,3080,2514,3572,21633,12594,58
2022,5529,6646,3252,2769,3534,21730,12627,58
